Emotion,Word,Num
sad,挽联,1
sad,道歉,1
sad,体无完肤,1
sad,追寻,1
sad,情感,1
sad,挫败,1
sad,式微,1
sad,低沉,1
sad,低沉,1
sad,全军覆没,1
sad,挫败,1
sad,疾苦,1
sad,变迁,1
sad,无人问津,1
sad,贬值,1
sad,衰落,2
sad,没落,1
sad,打击,1
sad,后悔,1
sad,衰败,1
sad,苦难,1
sad,衰落,1
sad,不行,1
sad,情感,1
sad,后悔,1
sad,回想,1
sad,悲哀,1
sad,绝望,4
sad,遗憾,1
sad,无人问津,2
sad,痛苦,1
sad,一贫如洗,1
sad,后悔,1
sad,可惜,1
sad,不幸,1
sad,生病,1
sad,后悔,1
sad,怜悯,1
sad,痛苦,1
sad,衰落,1
sad,不行,1
sad,傻眼,1
sad,后悔,1
sad,何去何从,1
sad,打击,1
sad,抱歉,1
sad,寂寞,1
sad,衰落,1
sad,不行,1
sad,难过,1
sad,后悔,1
sad,后悔,1
sad,认输,1
sad,孤独,1
sad,孤立,1
sad,风吹雨打,1
sad,不行,1
sad,石沉大海,1
sad,回忆,1
sad,舍弃,1
sad,打击,1
sad,后悔,1
sad,艰辛,1
sad,失望,1
sad,不景气,1
sad,无奈,1
sad,沮丧,1
sad,消息,2
sad,情感,1
sad,变迁,1
sad,挫败,1
sad,战乱,1
sad,逝世,1
sad,消息,5
sad,惨淡,1
sad,门可罗雀,1
sad,遗憾,1
sad,灰心,1
sad,何去何从,1
sad,消息,1
sad,渺茫,1
sad,无奈,1
sad,情感,1
sad,衰落,1
sad,心酸,1
sad,可惜,1
sad,嚎啕大哭,1
sad,逝世,1
sad,变迁,1
sad,悲痛,2
sad,痛失,1
sad,创伤,1
sad,离婚,2
sad,遗憾,1
sad,后悔,1
sad,受害,1
sad,遇难,1
sad,不行,2
sad,消息,1
sad,追寻,1
sad,悲哀,1
sad,式微,1
sad,衰落,2
sad,悲哀,1
sad,短暂,1
sad,悔不当初,1
sad,悲伤,1
sad,自卑,1
sad,不行,1
sad,石沉大海,1
sad,痛苦,4
sad,短暂,1
sad,式微,1
sad,衰微,1
sad,衰落,1
sad,唤起,1
sad,折戟沉沙,1
sad,失望,1
sad,遗憾,1
sad,打击,1
sad,回顾,1
sad,不行,1
sad,无人问津,1
sad,抱歉,1
sad,痛苦,1
sad,石沉大海,1
sad,不行,1
sad,消耗,1
sad,对不起,1
sad,寂寞,1
sad,消息,1
sad,关切,1
sad,昙花一现,1
sad,无人问津,1
sad,衰落,1
sad,伤害,1
sad,无奈,1
sad,心灰意冷,1
sad,不行,1
sad,衰退,1
sad,后悔,1
sad,低沉,1
sad,自卑,1
sad,消耗,1
sad,痛苦,3
sad,没落,1
sad,可惜,1
sad,沉沦,1
sad,扪心自问,1
sad,不幸,1
sad,短暂,1
sad,坎坷,1
sad,七零八落,1
sad,怀才不遇,1
sad,傻眼,1
sad,不行,1
sad,痛苦,1
sad,不行,1
sad,丧失,1
sad,绝望,1
sad,炮灰,1
sad,无奈,1
sad,悲凉,1
sad,没落,1
sad,无可奈何,1
sad,情感,1
sad,绝望,1
sad,炮灰,1
sad,倒霉,1
sad,短暂,1
sad,血泪,1
sad,回头,1
sad,不行,2
sad,灾难,1
sad,回忆,2
sad,炮灰,1
sad,消息,2
sad,防不胜防,1
sad,后悔,1
sad,痛失,1
sad,后悔,1
sad,不景气,1
sad,后悔,1
sad,怀念,1
sad,不行,1
sad,无奈,1
sad,漫长,1
sad,消息,1
sad,念念不忘,1
sad,回顾,1
sad,清贫,1
sad,事与愿违,1
sad,破灭,1
sad,短暂,1
sad,消息,1
sad,无奈,1
sad,不行,1
sad,遥遥无期,1
sad,石沉大海,1
sad,打击,1
sad,艰辛,1
sad,事与愿违,1
sad,不景气,1
sad,不行,1
sad,不行,1
sad,消息,2
sad,衰落,1
sad,衰退,1
sad,短暂,1
sad,衰落,1
sad,变迁,1
sad,困境,1
sad,萧条,1
sad,挽联,1
sad,艰辛,1
sad,身世,1
sad,道歉,1
sad,体无完肤,1
sad,情感,1
sad,追寻,1
sad,挫败,1
sad,式微,1
sad,低沉,1
sad,低沉,1
sad,全军覆没,1
sad,挫败,1
sad,疾苦,1
sad,贬值,1
sad,没落,1
sad,变迁,1
sad,无人问津,1
sad,衰落,2
sad,后悔,1
sad,打击,1
sad,衰败,1
sad,苦难,1
sad,衰落,1
sad,不行,1
sad,情感,1
sad,后悔,1
sad,回想,1
sad,悲哀,1
sad,不幸,1
sad,绝望,4
sad,后悔,1
sad,遗憾,1
sad,一贫如洗,1
sad,无人问津,2
sad,可惜,1
sad,痛苦,1
sad,生病,1
sad,后悔,1
sad,怜悯,1
sad,痛苦,1
sad,不行,1
sad,衰落,1
sad,傻眼,1
sad,何去何从,1
sad,后悔,1
sad,打击,1
sad,抱歉,1
sad,寂寞,1
sad,不行,1
sad,衰落,1
sad,难过,1
sad,后悔,1
sad,后悔,1
sad,孤独,1
sad,认输,1
sad,孤立,1
sad,风吹雨打,1
sad,不行,1
sad,回忆,1
sad,石沉大海,1
sad,舍弃,1
sad,后悔,1
sad,打击,1
sad,艰辛,1
sad,无奈,1
sad,失望,1
sad,不景气,1
sad,消息,2
sad,沮丧,1
sad,情感,1
sad,变迁,1
sad,挫败,1
sad,战乱,1
sad,逝世,1
sad,消息,5
sad,门可罗雀,1
sad,惨淡,1
sad,遗憾,1
sad,灰心,1
sad,何去何从,1
sad,消息,1
sad,渺茫,1
sad,无奈,1
sad,情感,1
sad,衰落,1
sad,心酸,1
sad,可惜,1
sad,嚎啕大哭,1
sad,后悔,1
sad,遗憾,1
sad,遇难,1
sad,悲痛,2
sad,痛失,1
sad,变迁,1
sad,受害,1
sad,创伤,1
sad,离婚,2
sad,逝世,1
sad,不行,2
sad,消息,1
sad,衰落,2
sad,追寻,1
sad,悲哀,1
sad,式微,1
sad,悲哀,1
sad,痛苦,4
sad,悲伤,1
sad,悔不当初,1
sad,石沉大海,1
sad,自卑,1
sad,不行,1
sad,短暂,1
sad,衰微,1
sad,衰落,1
sad,式微,1
sad,短暂,1
sad,打击,1
sad,失望,1
sad,回顾,1
sad,折戟沉沙,1
sad,遗憾,1
sad,唤起,1
sad,不行,1
sad,无人问津,1
sad,抱歉,1
sad,痛苦,1
sad,消耗,1
sad,石沉大海,1
sad,不行,1
sad,对不起,1
sad,消息,1
sad,寂寞,1
sad,衰落,1
sad,伤害,1
sad,关切,1
sad,昙花一现,1
sad,无人问津,1
sad,无奈,1
sad,心灰意冷,1
sad,不行,1
sad,衰退,1
sad,后悔,1
sad,低沉,1
sad,自卑,1
sad,消耗,1
sad,痛苦,3
sad,可惜,1
sad,没落,1
sad,沉沦,1
sad,不幸,1
sad,痛苦,1
sad,坎坷,1
sad,扪心自问,1
sad,七零八落,1
sad,怀才不遇,1
sad,不行,1
sad,短暂,1
sad,傻眼,1
sad,不行,1
sad,丧失,1
sad,绝望,1
sad,炮灰,1
sad,无奈,1
sad,无可奈何,1
sad,没落,1
sad,悲凉,1
sad,情感,1
sad,炮灰,1
sad,绝望,1
sad,倒霉,1
sad,短暂,1
sad,血泪,1
sad,回忆,2
sad,回头,1
sad,灾难,1
sad,防不胜防,1
sad,炮灰,1
sad,不行,2
sad,消息,2
sad,后悔,1
sad,痛失,1
sad,后悔,1
sad,不景气,1
sad,后悔,1
sad,不行,1
sad,怀念,1
sad,无奈,1
sad,清贫,1
sad,消息,1
sad,念念不忘,1
sad,漫长,1
sad,回顾,1
sad,事与愿违,1
sad,消息,1
sad,短暂,1
sad,破灭,1
sad,无奈,1
sad,不行,1
sad,遥遥无期,1
sad,打击,1
sad,石沉大海,1
sad,事与愿违,1
sad,艰辛,1
sad,不景气,1
sad,不行,1
sad,不行,1
sad,消息,2
sad,衰落,1
sad,衰退,1
sad,短暂,1
sad,衰落,1
sad,困境,1
sad,萧条,1
sad,变迁,1
sad,挽联,1
sad,身世,1
sad,艰辛,1
sad,道歉,1
sad,体无完肤,1
sad,情感,1
sad,追寻,1
sad,挫败,1
sad,式微,1
sad,低沉,1
sad,低沉,1
sad,全军覆没,1
sad,挫败,1
sad,疾苦,1
sad,贬值,1
sad,没落,1
sad,衰落,2
sad,变迁,1
sad,无人问津,1
sad,打击,1
sad,后悔,1
sad,衰败,1
sad,苦难,1
sad,衰落,1
sad,不行,1
sad,情感,1
sad,后悔,1
sad,回想,1
sad,悲哀,1
sad,一贫如洗,1
sad,不幸,1
sad,痛苦,1
sad,生病,1
sad,后悔,1
sad,绝望,4
sad,遗憾,1
sad,可惜,1
sad,无人问津,2
sad,后悔,1
sad,痛苦,1
sad,怜悯,1
sad,不行,1
sad,衰落,1
sad,傻眼,1
sad,何去何从,1
sad,后悔,1
sad,抱歉,1
sad,打击,1
sad,寂寞,1
sad,难过,1
sad,不行,1
sad,衰落,1
sad,后悔,1
sad,后悔,1
sad,认输,1
sad,孤独,1
sad,孤立,1
sad,风吹雨打,1
sad,不行,1
sad,舍弃,1
sad,回忆,1
sad,石沉大海,1
sad,打击,1
sad,后悔,1
sad,艰辛,1
sad,沮丧,1
sad,无奈,1
sad,消息,2
sad,不景气,1
sad,失望,1
sad,情感,1
sad,变迁,1
sad,挫败,1
sad,逝世,1
sad,消息,5
sad,战乱,1
sad,遗憾,1
sad,惨淡,1
sad,门可罗雀,1
sad,灰心,1
sad,消息,1
sad,何去何从,1
sad,渺茫,1
sad,无奈,1
sad,情感,1
sad,衰落,1
sad,心酸,1
sad,可惜,1
sad,逝世,1
sad,痛失,1
sad,创伤,1
sad,后悔,1
sad,变迁,1
sad,受害,1
sad,嚎啕大哭,1
sad,遗憾,1
sad,遇难,1
sad,悲痛,2
sad,离婚,2
sad,不行,2
sad,消息,1
sad,追寻,1
sad,悲哀,1
sad,式微,1
sad,衰落,2
sad,悲哀,1
sad,难受,1
sad,心虚,1
sad,难受,1
happy,乐观,1
happy,轻松,1
happy,增长,1
happy,享受,2
happy,转正,1
happy,愿望,2
happy,顺利,1
happy,帮衬,1
happy,幸福,1
happy,放松,1
happy,幸运,1
happy,赚钱,2
happy,坦然,1
happy,娱乐,1
happy,快乐,1
happy,诸如此类,1
happy,青春,1
happy,机遇,1
happy,游戏,7
happy,精神,1
happy,情怀,1
happy,朝阳,1
happy,运气,1
happy,幸运,1
happy,增长,2
happy,满心欢喜,1
happy,成功,1
happy,轻松,1
happy,幸运,2
happy,欣喜若狂,1
happy,清闲,1
happy,安稳,1
happy,舒服,3
happy,平淡,1
happy,入选,1
happy,精神,1
happy,娱乐,1
happy,赚钱,1
